Major Heading,Activity Code,MET Value,Activity Description
Walking,17352,3.5,"Walking, treadmill, 2.5 to 2.9 mph (4.0 to 4.7 km/h), 0% grade"""
Walking,17382,3.3,"Walking, treadmill, downhill (-3% to -12% grade), 2.8 to 3.1 mph"""
Walking,17412,3.3,"Walking, treadmill, downhill (-5% to -25% grade), 2.8 mph, with Nordic Poles"""
Walking,17349,3,"Walking, treadmill, 2.0 to 2.4 mph (3.2 to 3.9 km/h), 0% grade"""
Water Activities,18180,15.8,"Skindiving, fast"""
Water Activities,18112,15.5,"Rowing, simulated crew in a water tank, single oar, 33 strokes/min,"""
Water Activities,18114,15.5,"Rowing, single scull, ergometer, ergometer on slides, racing speed (32+ strokes/min, >10 mph)"""
Water Activities,18294,14.5,"Swimming, crawl, elite swimmers, competition, >90 yards/minute"""
Water Activities,18390,14,"Windsurfing, competition, pumping for speed"""
Water Activities,18270,13.8,"Swimming, butterfly, general"""
Water Activities,18104,13.5,"Kayaking, competition"""
Water Activities,18060,12.5,"Canoeing, rowing, kayaking, competition, > 6 mph, vigorous effort"""
Water Activities,18080,12,"Canoeing or rowing, in competition, crew or sculling (Taylor Code 260)"""
Water Activities,18190,11.8,"Skindiving, moderate"""
Water Activities,18229,11,"Stand up Paddleboard, standing, 50-69 strokes/min"""
Water Activities,18385,11,"Windsurfing or kitesurfing, crossing trial"""
Water Activities,18280,10.5,"Swimming, crawl, fast speed, ~75 yards/minute, vigorous effort"""
Water Activities,18285,10.5,"Swimming, open water, 5k"""
Water Activities,18260,10.3,"Swimming, breaststroke, general, training or competition"""
Water Activities,18440,10.3,"Aquatic cycling, 90+ RPM"""
Water Activities,18360,10,"Water polo"""
Water Activities,18228,9.8,"Stand up Paddleboard, standing, 40-49 strokes/min"""
Water Activities,18230,9.8,"Swimming laps, freestyle, fast, vigorous effort"""
Water Activities,18340,9.8,"Swimming, treading water, fast, vigorous effort"""
Water Activities,18366,9.8,"Water jogging, vigorous effort"""
Water Activities,18377,9.8,"Water running, 60 steps/min, very fast"""
Water Activities,18250,9.5,"Swimming, backstroke, training or competition"""
Water Activities,18132,9.3,"Sailing, in competition, high effort"""
Water Activities,18106,9,"Kayaking, slalom, flat water"""
Water Activities,18376,8.5,"Water running, 50 steps/min, fast"""
Water Activities,18436,8.5,"Aquatic cycling, 80-89 RPM"""
Water Activities,18290,8,"Swimming, crawl, medium speed, ~50 yards/minute, vigorous effort"""
Water Activities,18330,8,"Swimming, synchronized"""
Water Activities,18358,7.5,"Water aerobics, high intensity"""
Water Activities,18375,7.5,"Water running, 40 steps/min, moderate"""
Water Activities,18432,7.5,"Aquatic cycling, 100 W, 60-70 RPM"""
Water Activities,18030,7,"Canoeing, portaging"""
Water Activities,18200,7,"Skindiving, scuba diving, general (Taylor Code 310)"""
Water Activities,18320,7,"Swimming, sidestroke, general"""
Water Activities,18208,6.8,"Scuba diving, recreational diver"""
Water Activities,18221,6.8,"Surfboard, paddling"""
Water Activities,18369,6.8,"Water walking, vigorous effort, brisk pace"""
Water Activities,18224,6.5,"Stand up paddle boarding, general"""
Water Activities,18374,6.5,"Water running, 30 steps/min, slow"""
Water Activities,18424,6.3,"Aquatic cycling, 75 W, 60-70 RPM"""
Water Activities,18428,6.3,"Aquatic cycling, 100 W, 40-50 RPM"""
Water Activities,18150,6,"Skiing, water or wake boarding (Taylor Code 220)"""
Water Activities,18300,6,"Swimming, lake, ocean, river (Taylor Codes 280, 295)"""
Water Activities,18310,6,"Swimming, leisurely, not lap swimming, general"""
Water Activities,18416,6,"Aquatic cycling, 50 W, 60-70 RPM"""
Water Activities,18050,5.8,"Canoeing, rowing, 4.0-5.9 mph, moderate effort"""
Water Activities,18204,5.8,"Scuba diving, general, moderate effort"""
Water Activities,18240,5.8,"Swimming laps, freestyle, slow, recreational"""
Water Activities,18292,5.8,"Swimming, crawl, slow speed, 30-45 yards/minute, moderate effort"""
Water Activities,18206,5.5,"Scuba diving, professional diver"""
Water Activities,18355,5.5,"Water aerobics, water calisthenics, general"""
Water Activities,18202,5.3,"Scuba diving, general, light effort"""
Water Activities,18265,5.3,"Swimming breaststroke, recreational"""
Water Activities,18100,5,"Kayaking, moderate effort"""
Water Activities,18210,5,"Snorkeling (Taylor Code 320)"""
Water Activities,18222,5,"Surfing, body or board, competitive"""
Water Activities,18227,5,"Stand up Paddleboard, standing, 30-39 strokes/min"""
Water Activities,18370,5,"Whitewater rafting, kayaking, or canoeing"""
Water Activities,18380,5,"Windsurfing, not pumping for speed"""
Water Activities,18420,5,"Aquatic cycling, 75 W, 40-50 RPM"""
Water Activities,18255,4.8,"Swimming, backstroke, recreational"""
Water Activities,18368,4.8,"Water walking, moderate effort, moderate pace"""
Water Activities,18408,4.8,"Aquatic cycling, 25 W, 60-70 RPM"""
Water Activities,18130,4.5,"Sailing, in competition, general"""
Water Activities,18020,4,"Canoeing, on camping trip (Taylor Code 270)"""
Water Activities,18110,4,"Paddle boat"""
Water Activities,18226,3.8,"Stand up Paddleboard, standing, 20-29 strokes/min"""
Water Activities,18356,3.8,"Water aerobics, resistance exercises"""
Water Activities,18412,3.8,"Aquatic cycling, 50 W, 40-50 RPM"""
Water Activities,18070,3.5,"Canoeing, rowing, for pleasure, general (Taylor Code 250)"""
Water Activities,18350,3.5,"Swimming, treading water, moderate effort, general"""
Water Activities,18025,3.3,"Canoeing, harvesting wild rice, knocking rice off the stalks"""
Water Activities,18140,3.3,"Sailing, Sunfish/Laser/Hobby Cat, Keel boats, ocean sailing, yachting, leisure"""
Water Activities,18090,3,"Diving, springboard or platform"""
Water Activities,18120,3,"Sailing, boat and board sailing, windsurfing, ice sailing, general (Taylor Code 235)"""
Water Activities,18220,3,"Surfing, body or board, general"""
Water Activities,18365,3,"Water volleyball"""
Winter Activities,19112,16,"Skiing, cross country, 12-16 mph, elite skier, racing"""
Winter Activities,19345,16,"Rollerskiing, >10 km/h, 6-10 degree incline"""
Winter Activities,19130,15.5,"Skiing, cross country, hard snow, uphill, maximum, snow mountaineering"""
Winter Activities,19325,15,"Rollerskiing, 24 - 27.9 km/h, no incline"""
Winter Activities,19335,14.3,"Rollerskiing, 16-22 km/h, 2-5 degree incline"""
Winter Activities,19018,14,"Skating, ice dancing"""
Winter Activities,19110,14,"Skiing, cross country, elite skier, >8.0-11.9 mph, racing"""
Winter Activities,19050,13.8,"Skating, speed, competitive"""
Winter Activities,19140,13.5,"Skiing, cross-country, biathlon, skating technique"""
Winter Activities,19135,13.3,"Skiing, cross-country, skating"""
Winter Activities,19142,12.8,"Biathlon training, 5 degree incline, 8 km/h (5 mph), with/without rifle"""
Winter Activities,19144,12.8,"Biathlon training, 5 degree incline, 10.7 km/h (5 mph), with/without rifle"""
Winter Activities,19300,12.5,"Skiing, roller, elite racers"""
Winter Activities,19330,12.5,"Rollerskiing, 10-15 km/h, 2-5 degree incline"""
Winter Activities,19340,12.3,"Rollerskiing, 6-9 km/h, 6-10 degree incline"""
Winter Activities,19100,11.3,"Skiing, cross country, 5.0-7.9 mph, brisk speed, vigorous effort"""
Winter Activities,19048,11,"Skating Treadmill, 9 - 9.9 mph, 2% grade"""
Winter Activities,19047,10.5,"Skating Treadmill, 8 - 8.9 mph, 2% grade"""
Winter Activities,19320,10.5,"Rollerskiing, 20 - 23.9 km/h, no incline"""
Winter Activities,19405,10.3,"Mountaineering, downhill climbing/cross-country skiing"""
Winter Activities,19046,10,"Skating Treadmill, 7 - 7.9 mph, 2% grade"""
Winter Activities,19192,10,"Snow shoeing, vigorous effort"""
Winter Activities,19115,9.5,"Skiing, cross-country skiing high-intensity training"""
Winter Activities,19146,9.3,"Skiing, slalom"""
Winter Activities,19040,9,"Skating, ice, rapidly, more than 9 mph but not competitive"""
Winter Activities,19045,9,"Skating Treadmill, 6 - 6.9 mph, 2% grade"""
Winter Activities,19400,9,"Mountaineering, downhill climbing, walking down with rope"""
Winter Activities,19090,8.5,"Skiing, cross country, 4.0-4.9 mph, moderate speed and effort, general"""
Winter Activities,19315,8.3,"Rollerskiing, 17 - 19.9 km/h, no incline"""
Winter Activities,19170,8,"Skiing, downhill, alpine or snowboarding, vigorous effort, active time only"""
Winter Activities,19005,7.5,"Dog sledding, mushing"""
Winter Activities,19201,7.5,"Snowboarding, recreational, moderate pace, mountain"""
Winter Activities,19254,7.5,"Snow shoveling, by hand, vigorous effort"""
Winter Activities,19174,7.3,"Skiing, Alpine skiing high-intensity training"""
Winter Activities,19030,7,"Skating, ice, general (Taylor Code 360)"""
Winter Activities,19075,7,"Skiing, general"""
Winter Activities,19180,7,"Sledding, tobogganing, bobsledding, luge (Taylor Code 370)"""
Winter Activities,19080,6.8,"Skiing, cross country, 2.5 mph, slow or light effort, ski walking"""
Winter Activities,19310,6.8,"Rollerskiing, 13 - 16.9 km/h, no incline"""
Winter Activities,19160,6.3,"Skiing, downhill, alpine or snowboarding, moderate effort, general, active time only"""
Winter Activities,19010,6,"Moving icehouse, set up/drill holes"""
Winter Activities,19020,5.5,"Skating, ice, 9 mph or less"""
Winter Activities,19305,5.5,"Rollerskiing, 10 - 12.9 km/h, no incline"""
Winter Activities,19190,5.3,"Snow shoeing, moderate effort"""
Winter Activities,19252,5.3,"Snow shoveling, by hand, moderate effort"""
Winter Activities,19150,4.3,"Skiing, downhill, alpine or snowboarding, light effort, active time only"""
